SessionTime,Lap,LapDist,LapDistPct,Speed,Yaw,YawNorth,VelocityX,VelocityY,VelocityZ,YawRate,SteeringWheelAngle,LatAccel,IsOnTrack
972.383332824,1.000000000,4177.085937500,0.651296079,54.675834656,1.076594234,6.227059841,54.672801971,0.575747609,-0.377302200,-0.487093151,-0.000000119,-27.358924866,1.000000000
972.399999491,1.000000000,4177.995117188,0.651437879,54.574542999,1.070373416,6.233280659,54.570930481,0.627850890,-0.389514983,-0.274081349,0.000000000,-16.298812866,1.000000000
972.416666157,1.000000000,4178.902832031,0.651579380,54.509719849,1.067212582,6.236441612,54.506702423,0.573412299,-0.374535203,-0.113028809,0.000000000,-11.984588623,1.000000000
972.433332824,1.000000000,4179.810058594,0.651720822,54.456493378,1.066261172,6.237392902,54.454475403,0.468676835,-0.339607418,-0.010149705,0.000000000,-9.116949081,1.000000000
972.449999491,1.000000000,4180.716308594,0.651862144,54.401229858,1.066601872,6.237052441,54.400455475,0.289675862,-0.326694548,0.040562723,0.000000000,-9.935201645,1.000000000
972.466666157,1.000000000,4181.621582031,0.652003288,54.350559235,1.067235827,6.236418247,54.350456238,0.105460830,-0.298656881,0.028338112,0.000000000,-7.145154953,1.000000000
972.483332824,1.000000000,4182.525878906,0.652144313,54.302558899,1.067470670,6.236183643,54.302558899,0.005837638,-0.294655919,-0.001748575,0.000000000,-3.717460632,1.000000000
972.499999491,1.000000000,4183.429687500,0.652285218,54.247879028,1.067298532,6.236355782,54.247879028,-0.014133906,-0.321318388,-0.010850705,0.000000000,-0.391885459,1.000000000
972.516666157,1.000000000,4184.332519531,0.652426004,54.175251007,1.068240285,6.235414028,54.175109863,-0.124246188,-0.350521207,-0.090314545,-5.206414700,-16.386022568,1.000000000
972.533332824,1.000000000,4185.233398438,0.652566433,54.079513550,1.063045740,6.240608215,54.079452515,-0.081320532,-0.338959455,-0.423844546,-9.424778938,-15.628255844,1.000000000
972.549999491,1.000000000,4186.133300781,0.652706802,53.982761383,1.054965734,6.248688698,53.982761383,0.006747115,-0.344041765,-0.512081504,-9.424778938,-23.356084824,1.000000000
972.566666157,1.000000000,4187.031250000,0.652846754,53.903324127,1.046841860,6.256812096,53.903274536,0.073585145,-0.400491774,-0.458563626,-9.424778938,-20.627595901,1.000000000
972.583332824,1.000000000,4187.928222656,0.652986646,53.819877625,1.039398909,6.264255524,53.819766998,0.108895473,-0.409376144,-0.442986250,-9.424778938,-21.375635147,1.000000000
972.599999491,1.000000000,4188.823730469,0.653126240,53.723407745,1.031859636,6.271794319,53.723190308,0.152432173,-0.368722856,-0.468543947,-9.424778938,-21.926221848,1.000000000
972.616666157,1.000000000,4189.717285156,0.653265595,53.617134094,1.023738146,6.279915810,53.616672516,0.222098902,-0.341967344,-0.504550874,-9.424778938,-22.538412094,1.000000000
972.633332824,1.000000000,4190.608886719,0.653404593,53.507366180,1.014180541,0.006288171,53.506824493,0.240946978,-0.354822218,-0.795563161,0.000000000,-38.905078888,1.000000000
972.649999491,1.000000000,4191.499511719,0.653543472,53.404090881,1.005632520,0.014836192,53.401161194,0.559490561,-0.382202804,-0.321647733,0.000000000,-13.788327217,1.000000000
