Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
78.325905,0.013577371,43.79714515891446,-87.9895839105537,0,1,8687.734,0.0013978267,6,1,false,false,-0.25085533,0.9862408,8.436626,-2.1046367,-0.0012532278,3
78.34537,0.013780932,43.79713345847092,-87.98958366218008,0,1,8699.303,0.010071494,6,1,false,false,-0.2038221,1.4876754,11.039693,-2.1046264,0.0014715281,3
78.36991,0.013984547,43.797121668073615,-87.98958328943006,0,1,8684.847,0.0151066985,6,1,false,false,-0.13158609,1.563792,12.212576,-2.1045568,0.006371062,3
78.39123,0.014188225,43.79710996763007,-87.98958304105643,0,1,8666.018,0.011470401,6,1,false,false,0.28575203,1.2863498,10.733226,-2.1043956,0.011658825,3
78.41023,0.014391952,43.79709817723277,-87.98958279230362,0,1,8674.465,0.0027967363,6,1,false,false,0.044425547,1.0629615,11.684439,-2.1041873,0.011330865,3
78.42707,0.014595729,43.79708638683547,-87.98958254393001,0,1,8688.492,-0.0044769407,6,1,false,false,-0.06111884,1.2103224,10.077751,-2.1040208,0.007604514,3
78.44433,0.0147995455,43.79707468639192,-87.98958229555639,0,1,8686.551,-0.013149528,6,1,false,false,-0.30501008,1.240263,10.716178,-2.103944,0.0010123616,3
78.46298,0.01500341,43.797062895994614,-87.98958192280637,0,1,8679.523,-0.020983633,6,1,false,false,-0.3449261,1.1230457,10.679125,-2.1039941,-0.006243849,3
78.47863,0.015207321,43.79705110559731,-87.98958167405355,0,1,8686.608,-0.026859479,6,1,false,false,-0.94897306,1.1137547,9.447603,-2.1041627,-0.014430261,3
78.493866,0.015411271,43.79703931520001,-87.98958142567993,0,1,8698.377,-0.023502316,6,1,false,false,-0.9830087,1.0122774,8.7455635,-2.1044686,-0.021341471,3
78.51234,0.015615263,43.797027614756466,-87.98958117692712,0,1,8699.041,-0.02042428,6,1,false,false,-0.9623269,1.2687776,9.228462,-2.1048346,-0.021571584,3
78.53004,0.015819304,43.797015824359164,-87.9895809285535,0,1,8693.928,-0.016507767,6,1,false,false,-1.1006932,1.2908682,8.9140215,-2.1051912,-0.020456564,3
78.546646,0.016023386,43.79700403382452,-87.98958068017988,0,1,8697.882,-0.009234097,6,1,false,false,-0.80485034,1.0250342,8.274764,-2.10552,-0.017788563,3
78.562386,0.016227517,43.79699224342722,-87.98958043142707,0,1,8709.048,-0.0033582475,6,1,false,false,-0.9101164,1.0637326,10.22761,-2.1057837,-0.013415165,3
78.57911,0.01643169,43.79698045302992,-87.98958018305345,0,1,8712.778,0.0041956445,6,1,false,false,-0.8822818,1.3024812,10.491267,-2.1059666,-0.008193998,3
78.59752,0.016635908,43.796968662632615,-87.98957981030343,0,1,8709.538,0.011190188,6,1,false,false,-0.31952563,1.2586839,8.550318,-2.1060328,-0.00013313902,3
78.616684,0.016840173,43.796956872235306,-87.9895795619298,0,1,8707.697,0.012308882,6,1,false,false,-0.21261281,1.1645827,12.637409,-2.1059735,0.0062593585,3
78.63412,0.017044486,43.796945081838004,-87.98957931317699,0,1,8709.6455,0.010909976,6,1,false,false,-0.28386974,1.2762334,13.087482,-2.1058178,0.010458457,3
78.65242,0.01724885,43.7969332914407,-87.98957906480338,0,1,8713.103,0.010350627,6,1,false,false,-0.16497302,1.4177148,9.634283,-2.1056054,0.012385085,3
78.67276,0.017453263,43.79692150090606,-87.98957881642976,0,1,8706.852,0.007552809,6,1,false,false,0.17592865,1.2795376,11.666124,-2.1053994,0.011905734,3
78.691605,0.01765773,43.79690971050876,-87.98957856767694,0,1,8698.937,-0.0016791243,6,1,false,false,-0.06655115,1.1654061,9.258086,-2.105218,0.010021847,3
78.705795,0.017862242,43.796897920111455,-87.98957831930332,0,1,8708.85,-0.013149526,6,1,false,false,-0.37593216,0.9436486,6.2556615,-2.1051104,0.0032242509,3
78.72104,0.018066794,43.79688603976039,-87.98957807055051,0,1,8724.154,-0.019305589,6,1,false,false,-0.3262546,0.97148234,6.994526,-2.1051426,-0.004255109,3
78.734886,0.018271383,43.79687424922575,-87.98957782217688,0,1,8727.338,-0.024061661,6,1,false,false,-0.5888019,0.9090585,5.7739444,-2.105288,-0.010412396,3
78.748764,0.018476011,43.79686245882845,-87.98957757380327,0,1,8731.486,-0.023222098,6,1,false,false,-0.6486944,0.77865475,5.413192,-2.1055222,-0.015338894,3
78.76414,0.01868068,43.79685066843115,-87.98957732505046,0,1,8742.963,-0.019584725,6,1,false,false,-0.9530139,1.0402352,6.853274,-2.1058304,-0.019931737,3
78.78074,0.018885393,43.79683878808008,-87.98957707667684,0,1,8747.96,-0.014548438,6,1,false,false,-0.8109995,1.2122072,7.373807,-2.1061769,-0.019434405,3
78.79931,0.019090153,43.796826997545445,-87.98957682830323,0,1,8744.544,-0.013149528,6,1,false,false,-0.8669983,1.2047307,7.7668977,-2.1064792,-0.01677723,3
78.81918,0.019294966,43.796815207148136,-87.9895765795504,0,1,8740.519,-0.0069945436,6,1,false,false,-0.8941767,1.2685875,7.4835157,-2.1067543,-0.015476687,3
78.838776,0.019499836,43.796803326797075,-87.98957633117679,0,1,8741.203,-0.0030780323,6,1,false,false,-0.9941763,1.24506,7.5054035,-2.1069865,-0.011159744,3
78.85653,0.019704755,43.79679153639977,-87.98957608280317,0,1,8743.045,-0.00028021427,6,1,false,false,-0.7387845,1.0954581,6.9639215,-2.1071494,-0.0068721334,3
78.87242,0.01990973,43.79677974586513,-87.98957583405036,0,1,8746.288,-0.0011197762,6,1,false,false,-0.50989974,0.96492594,7.6352043,-2.1072402,-0.0028912679,3
78.88897,0.020114746,43.79676786551407,-87.98957558567675,0,1,8753.057,-0.006156065,6,1,false,false,-0.8628096,1.1633935,6.7015467,-2.1072843,-0.0019151779,3
78.906235,0.020319803,43.79675607511677,-87.98957546130033,0,1,8756.245,-0.006156064,6,1,false,false,-0.6890767,1.1850231,9.301896,-2.1073394,-0.0033460008,3
78.92417,0.02052491,43.79674419462837,-87.98957521292671,0,1,8755.182,-0.0036384617,6,1,false,false,-0.2349001,1.0915742,10.124545,-2.1073964,-0.0030886806,3
78.942085,0.020730056,43.796732404231065,-87.9895749641739,0,1,8756.681,-0.00084064325,6,1,false,false,-0.68804246,1.3100443,13.645537,-2.1074293,-0.0029569264,3
78.96221,0.020935256,43.79672052388,-87.98957471580029,0,1,8754.135,0.0058747674,6,1,false,false,-0.37299097,1.3782508,12.141879,-2.1074483,-0.0012588121,3
78.984276,0.021140512,43.796708643391604,-87.98957446742666,0,1,8743.563,0.005594552,6,1,false,false,-0.3756749,1.4701563,12.506959,-2.1074088,0.002788998,3
79.00641,0.021345828,43.796696852994295,-87.98957421867385,0,1,8730.91,0.00027913274,6,1,false,false,-0.45212868,1.277557,10.445487,-2.1073399,0.0042612157,3
79.023796,0.021551188,43.7966849725059,-87.98957409467664,0,1,8732.195,-0.010072576,6,1,false,false,-0.5964714,0.8793274,8.977044,-2.107285,0.0026013409,3
79.03714,0.021756591,43.79667309215483,-87.98957384592383,0,1,8747.012,-0.027978176,6,1,false,false,-0.7242046,0.8093949,8.053747,-2.1072984,-0.003845776,3
79.04921,0.02196202,43.79666130175753,-87.9895735975502,0,1,8761.776,-0.04280574,6,1,false,false,-1.1642072,0.8730281,5.7455378,-2.1074734,-0.015855428,3
79.06305,0.022167485,43.79664942126913,-87.9895733491766,0,1,8767.942,-0.046723332,6,1,false,false,-1.5261067,0.9361841,6.9482336,-2.107854,-0.02789907,3
79.078606,0.022372985,43.79663754091807,-87.98957322480018,0,1,8769.428,-0.042526618,6,1,false,false,-1.6742405,0.99502313,8.5998,-2.1084125,-0.037210833,3
79.09515,0.022578524,43.79662566042967,-87.98957297642656,0,1,8774.23,-0.032734245,6,1,false,false,-2.027935,1.1784097,8.462562,-2.109081,-0.04168822,3
79.11342,0.022784108,43.79661378007861,-87.98957272767375,0,1,8777,-0.016227555,6,1,false,false,-1.9134238,1.1292796,9.939273,-2.109765,-0.03923392,3
79.13316,0.02298974,43.796601989543966,-87.98957260367654,0,1,8771.668,-0.0061560646,6,1,false,false,-1.7822086,1.2305912,12.0882,-2.1103349,-0.029463548,3
79.15217,0.023195418,43.796590109192906,-87.98957235492372,0,1,8766.006,-0.0050373706,6,1,false,false,-1.8941553,1.2545384,12.189745,-2.1107142,-0.018244559,3
79.17124,0.023401143,43.796578228704504,-87.98957223092651,0,1,8765.462,-0.007274757,6,1,false,false,-2.028227,1.2741675,11.997522,-2.1109464,-0.012165205,3
79.18961,0.023606913,43.796566348353444,-87.9895719821737,0,1,8763.531,-0.0075549735,6,1,false,false,-1.6673092,1.1257735,10.728624,-2.1111162,-0.008887769,3
79.20745,0.023812735,43.79655446786504,-87.98957185779729,0,1,8760.696,-0.016786907,6,1,false,false,-1.6583123,1.1920803,9.210582,-2.111237,-0.0061310865,3
79.22379,0.024018591,43.796542587513976,-87.98957173380008,0,1,8762.871,-0.02657927,6,1,false,false,-1.5030602,1.0133837,7.5258203,-2.1113644,-0.008825932,3
79.23649,0.024224488,43.79653070702558,-87.98957148504726,0,1,8772.772,-0.02937708,6,1,false,false,-1.5917978,0.7739279,10.42054,-2.111582,-0.016175635,3
79.24654,0.02443041,43.796518826674514,-87.98957136105005,0,1,8787.772,-0.025739707,6,1,false,false,-1.4842467,0.57519925,8.701945,-2.1119273,-0.023853475,3
79.26085,0.024636354,43.79650694618612,-87.98957123667365,0,1,8797.144,-0.015668212,6,1,false,false,-1.3916382,1.1089426,8.131489,-2.1123366,-0.024887066,3
79.28269,0.02484235,43.79649497574396,-87.98957111229724,0,1,8785.799,0.0011186949,6,1,false,false,-0.8348071,1.351298,8.5051775,-2.1127162,-0.018658454,3
79.30297,0.0250484,43.796483095392894,-87.98957086392362,0,1,8771.289,0.016785823,6,1,false,false,-0.5957247,0.95244586,6.8898506,-2.112934,-0.0058525065,3
79.315674,0.025254486,43.7964712149045,-87.98957073954722,0,1,8782.651,0.021821033,6,1,false,false,-0.54567784,0.8162907,12.827665,-2.1129453,0.004718182,3
79.32699,0.0254606,43.79645933455343,-87.98957061555001,0,1,8806.709,0.020422123,6,1,false,false,0.19840488,0.9148756,11.971731,-2.1127756,0.014373331,3
79.34555,0.025666751,43.79644745406503,-87.9895704911736,0,1,8808.233,0.007833026,6,1,false,false,0.03246902,1.4553221,10.996387,-2.1124487,0.020443197,3
79.369995,0.025872957,43.79643548362288,-87.9895703667972,0,1,8777.277,-0.0030780323,6,1,false,false,-0.2255346,1.5879204,13.704218,-2.112134,0.015279524,3
79.390175,0.026079215,43.79642360327181,-87.98957024279999,0,1,8760.579,-0.0058758496,6,1,false,false,0.23084863,1.0468142,10.660835,-2.1119473,0.0073575554,3
79.40343,0.026285518,43.79641172278341,-87.98956999404717,0,1,8784.182,-0.0041967253,6,1,false,false,0.13415551,0.8520486,12.061446,-2.111872,0.0022070557,3
79.4156,0.026491849,43.796399752478585,-87.98956987004995,0,1,8803.341,0.003916512,6,1,false,false,0.4538712,0.9265554,11.558467,-2.1118524,0.0005686458,3
79.43051,0.026698217,43.79638787199019,-87.98956974567355,0,1,8795.285,0.014826486,6,1,false,false,0.7162478,1.0563141,9.882309,-2.11182,0.0037837597,3
79.44727,0.026904624,43.79637599150179,-87.98956962129714,0,1,8787.352,0.020702334,6,1,false,false,0.6972057,1.1162946,9.795398,-2.111703,0.009762045,3
79.46366,0.027111078,43.796364021196965,-87.98956949729993,0,1,8794.127,0.023219934,6,1,false,false,0.9090545,1.0221694,9.130698,-2.111505,0.014076469,3
